iter	RMSE	RMSE
0	0.3134015162	0.3134015162
1	0.3115982186	0.3115982186
2	0.30979898	0.30979898
3	0.3081542567	0.3081542567
4	0.3066499811	0.3066499811
5	0.3050735293	0.3050735293
6	0.3035410862	0.3035410862
7	0.3022055309	0.3022055309
8	0.3010619753	0.3010619753
9	0.299736851	0.299736851
10	0.298600655	0.298600655
11	0.2972473113	0.2972473113
12	0.2961850126	0.2961850126
13	0.2952153043	0.2952153043
14	0.2938620661	0.2938620661
15	0.2927999818	0.2927999818
16	0.2916122351	0.2916122351
17	0.2907508747	0.2907508747
18	0.2899125819	0.2899125819
19	0.2889544214	0.2889544214
