iter	Passed	Remaining
0	4412	878063
1	8172	809028
2	12124	796144
3	16205	794049
4	20016	780631
5	23700	766319
6	27435	756443
7	32049	769188
8	36394	772372
9	40210	764005
10	43901	754309
11	48252	755960
12	51968	747541
13	55877	742374
14	59306	731452
15	62439	718051
16	66805	719138
17	71163	719546
18	75271	717063
19	79610	716492
20	83330	710291
21	87076	704528
22	90870	699311
23	94733	694711
24	98781	691472
25	103082	689857
26	107272	687339
27	110573	679236
28	114454	674884
29	118267	670180
30	122822	669581
31	126746	665420
32	133212	674135
33	137926	673407
34	141169	665512
35	145642	663482
36	149716	659562
37	154136	657109
38	158478	654230
39	162948	651794
40	167384	649125
41	174615	656885
42	178450	651553
43	182842	648260
44	187328	645241
45	191676	641697
46	198855	647338
47	203211	643504
48	207072	638120
49	211472	634417
50	215216	628771
51	221527	630501
52	225686	625961
53	229862	621479
54	233954	616788
55	239448	615723
56	245663	616312
57	249395	610588
58	253720	606348
59	257981	601956
60	263155	599649
61	269283	599373
62	273538	594838
63	276815	588232
64	280644	582877
65	287192	583087
66	290666	576995
67	294747	572156
68	298627	566958
69	303115	562928
70	308550	560606
71	314168	558521
72	318496	554097
73	322880	549769
74	327454	545757
75	331744	541266
76	338176	540204
77	343899	537893
78	350858	537390
79	355771	533657
80	360271	529287
81	364791	524944
82	369399	520719
83	373934	516386
84	378047	511476
85	382361	506851
86	387051	502721
87	393958	501401
88	398492	496996
89	403237	492845
90	406774	487234
91	408485	479526
92	410153	471897
93	413562	466357
94	418771	462852
95	422850	458088
96	424640	450907
97	430062	447616
98	435856	444661
99	439296	439296
100	441482	432740
101	445594	428120
102	449013	422857
103	451991	417222
104	455977	412551
105	460935	408753
106	462842	402283
107	469452	399903
108	472102	394140
109	475714	389220
110	479653	384587
111	483792	380122
112	485511	373800
113	487817	368002
114	494138	365233
115	497781	360462
116	500304	354917
117	505370	351189
118	509572	346851
119	512429	341619
120	517192	337671
121	523678	334811
122	527206	330039
123	530781	325317
124	536546	321928
125	541078	317776
126	545705	313673
127	551739	310353
128	555822	305917
129	560607	301865
130	564279	297215
131	570677	293985
132	575457	289891
133	581892	286603
134	586898	282580
135	591882	278532
136	598180	275075
137	604078	271397
138	608604	267085
139	612231	262385
140	618548	258825
141	623437	254643
142	629728	251010
143	633886	246511
144	638520	242197
145	644345	238319
146	648725	233894
147	652961	229419
148	657777	225145
149	661326	220442
150	665851	216071
151	670561	211756
152	675547	207521
153	680986	203411
154	685658	199062
155	690860	194858
156	697721	191095
157	702144	186645
158	706848	182269
159	712243	178060
160	716342	173523
161	723895	169802
162	728488	165362
163	734530	161238
164	738479	156647
165	743332	152248
166	748016	147811
167	753666	143555
168	758263	139089
169	762589	134574
170	769634	130522
171	774379	126061
172	779119	121596
173	783900	117134
174	787843	112549
175	792297	108040
176	799244	103856
177	803963	99366
178	808379	94837
179	815290	90587
180	820511	86131
181	824614	81555
182	828854	76997
183	835709	72670
184	840220	68125
185	844450	63560
186	849756	59074
187	854256	54527
188	858695	49976
189	863224	45432
190	868603	40928
191	872438	36351
192	876739	31798
193	881655	27267
194	888478	22781
195	892504	18214
196	897525	13667
197	902104	9112
198	909450	4570
199	914303	0
