iter	Passed	Remaining
0	116	116277
1	173	86511
2	219	72899
3	273	68083
4	328	65401
5	383	63555
6	441	62625
7	496	61580
8	552	60855
9	606	60014
10	668	60064
11	725	59768
12	781	59355
13	830	58470
14	886	58240
15	938	57697
16	1000	57853
17	1060	57862
18	1126	58160
19	1191	58396
20	1248	58185
21	1301	57863
22	1351	57411
23	1409	57329
24	1466	57204
25	1527	57210
26	1585	57141
27	1644	57091
28	1699	56918
29	1750	56588
30	1808	56522
31	1867	56477
32	1924	56395
33	1983	56365
34	2042	56306
35	2095	56111
36	2154	56063
37	2212	56006
38	2268	55893
39	2323	55767
40	2384	55781
41	2438	55613
42	2491	55455
43	2551	55446
44	2608	55352
45	2664	55263
46	2719	55151
47	2778	55099
48	2835	55039
49	2888	54887
50	2949	54876
51	3014	54961
52	3071	54885
53	3123	54718
54	3181	54667
55	3237	54578
56	3290	54443
57	3350	54408
58	3407	54354
59	3466	54312
60	3518	54166
61	3578	54142
62	3646	54228
63	3705	54188
64	3769	54216
65	3831	54227
66	3894	54235
67	3952	54171
68	4011	54126
69	4050	53816
70	4103	53687
71	4158	53596
72	4216	53546
73	4281	53581
74	4337	53501
75	4400	53496
76	4461	53474
77	4514	53367
78	4577	53365
79	4639	53351
80	4696	53286
81	4752	53207
82	4815	53198
83	4868	53088
84	4894	52687
85	4957	52692
86	5008	52563
87	5069	52534
88	5131	52530
89	5169	52265
90	5223	52173
91	5288	52192
92	5347	52149
93	5402	52069
94	5460	52021
95	5516	51947
96	5571	51866
97	5631	51833
98	5686	51749
99	5747	51727
100	5800	51630
101	5859	51583
102	5920	51560
103	5981	51533
104	6037	51464
105	6097	51422
106	6149	51319
107	6206	51259
108	6265	51213
109	6323	51160
110	6383	51128
111	6444	51096
112	6503	51048
113	6562	51001
114	6617	50922
115	6673	50860
116	6733	50820
117	6793	50776
118	6850	50718
119	6911	50682
120	6966	50609
121	7024	50553
122	7087	50536
123	7139	50439
124	7197	50382
125	7259	50357
126	7314	50279
127	7372	50227
128	7439	50232
129	7483	50083
130	7542	50033
131	7598	49967
132	7657	49917
133	7715	49861
134	7771	49793
135	7831	49755
136	7892	49719
137	7929	49531
138	7990	49492
139	8042	49401
140	8106	49386
141	8170	49369
142	8234	49351
143	8292	49297
144	8346	49213
145	8386	49053
146	8452	49046
147	8513	49008
148	8567	48931
149	8626	48882
150	8676	48783
151	8736	48738
152	8793	48680
153	8855	48646
154	8918	48619
155	8977	48570
156	9037	48528
157	9097	48482
158	9160	48452
159	9191	48255
160	9246	48186
161	9308	48149
162	9367	48099
163	9409	47964
164	9469	47919
165	9525	47857
166	9584	47808
167	9643	47756
168	9700	47701
169	9760	47655
170	9819	47604
171	9875	47542
172	9933	47486
173	9984	47399
174	10043	47347
175	10110	47336
176	10171	47295
177	10240	47288
178	10300	47244
179	10356	47180
180	10415	47129
181	10460	47014
182	10521	46973
183	10581	46927
184	10639	46871
185	10698	46818
186	10759	46776
187	10816	46720
188	10880	46688
189	10936	46624
190	10988	46543
191	11011	46339
192	11057	46233
193	11111	46165
194	11136	45973
195	11191	45906
196	11253	45871
197	11307	45799
198	11334	45621
199	11401	45604
200	11466	45580
201	11521	45514
202	11576	45450
203	11636	45404
204	11694	45350
205	11749	45288
206	11809	45243
207	11875	45218
208	11934	45168
209	11996	45128
210	12057	45085
211	12114	45028
212	12172	44976
213	12203	44823
214	12263	44775
215	12325	44738
216	12386	44694
217	12445	44643
218	12507	44604
219	12570	44569
220	12625	44503
221	12677	44430
222	12739	44388
223	12801	44347
224	12861	44301
225	12895	44164
226	12928	44025
227	12988	43980
228	13045	43922
229	13103	43867
230	13161	43815
231	13186	43651
232	13246	43605
233	13307	43561
234	13362	43499
235	13419	43443
236	13473	43376
237	13511	43259
238	13561	43180
239	13621	43133
240	13681	43088
241	13746	43057
242	13807	43013
243	13866	42964
244	13920	42897
245	13975	42834
246	14011	42716
247	14059	42633
248	14085	42481
249	14140	42420
250	14170	42286
251	14232	42244
252	14291	42195
253	14346	42136
254	14407	42091
255	14468	42047
256	14528	42001
257	14590	41961
258	14651	41918
259	14705	41855
260	14765	41808
261	14828	41770
262	14896	41743
263	14953	41688
264	15014	41643
265	15068	41579
266	15117	41501
267	15175	41449
268	15237	41406
269	15295	41354
270	15356	41309
271	15404	41230
272	15461	41174
273	15526	41138
274	15567	41042
275	15628	40996
276	15653	40857
277	15705	40788
278	15771	40756
279	15839	40728
280	15904	40694
281	15961	40639
282	16018	40585
283	16082	40545
284	16143	40499
285	16204	40454
286	16228	40317
287	16291	40276
288	16348	40221
289	16411	40180
290	16473	40135
291	16532	40086
292	16594	40041
293	16647	39976
294	16705	39924
