iter	MultiClass
0	-0.3580313089
1	-0.2738259381
2	-0.1854271599
3	-0.1370585153
4	-0.1255801885
5	-0.1153036049
6	-0.1035243062
7	-0.09247280227
8	-0.08567539549
9	-0.07072676843
10	-0.0675804457
11	-0.06292515187
12	-0.05332460015
13	-0.05017775334
14	-0.0491120996
15	-0.04724356154
16	-0.04626171726
17	-0.04298803239
18	-0.04210720456
19	-0.04156773794
20	-0.03966734209
21	-0.03904857309
22	-0.03857527749
23	-0.03729754967
24	-0.03596385558
25	-0.03370792578
26	-0.02918951332
27	-0.02854540293
28	-0.02771201453
29	-0.02744336102
